,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
65,65.0,Cameroon,4890,490.0,165.0,6.0,1865.0,2860.0,28.0,185.0,6.0,0.0,0.0,26473989.0
66,66.0,Iraq,4469,197.0,160.0,8.0,2738.0,1571.0,0.0,111.0,4.0,186885.0,4658.0,40125564.0
67,67.0,Azerbaijan,4122,140.0,49.0,0.0,2607.0,1466.0,42.0,407.0,5.0,270739.0,26726.0,10130034.0
68,68.0,Luxembourg,3992,2.0,110.0,1.0,3767.0,115.0,7.0,6388.0,176.0,67729.0,108380.0,624919.0
69,69.0,Honduras,3743,266.0,174.0,7.0,455.0,3114.0,13.0,379.0,18.0,11820.0,1195.0,9888260.0
70,70.0,Hungary,3741,28.0,486.0,4.0,1690.0,1565.0,28.0,387.0,50.0,162925.0,16861.0,9662656.0
71,71.0,Sudan,3628,250.0,146.0,9.0,424.0,3058.0,0.0,83.0,3.0,401.0,9.0,43738792.0
72,72.0,Guinea,3275,99.0,20.0,0.0,1673.0,1582.0,24.0,250.0,2.0,14407.0,1100.0,13093597.0
73,73.0,Uzbekistan,3164,49.0,13.0,0.0,2565.0,586.0,4.0,95.0,0.4,460000.0,13765.0,33419241.0
74,74.0,Guatemala,3054,311.0,55.0,4.0,244.0,2755.0,5.0,171.0,3.0,25464.0,1424.0,17880705.0
75,75.0,Senegal,3047,71.0,35.0,1.0,1456.0,1556.0,12.0,183.0,2.0,35016.0,2097.0,16695568.0
76,76.0,Thailand,3040,0.0,56.0,0.0,2921.0,63.0,61.0,44.0,0.8,328073.0,4701.0,69783058.0
77,77.0,Tajikistan,2929,191.0,46.0,2.0,1301.0,1582.0,0.0,308.0,5.0,0.0,0.0,9514637.0
78,78.0,Greece,2878,2.0,171.0,0.0,1374.0,1333.0,19.0,276.0,16.0,153963.0,14765.0,10427777.0
79,79.0,Bulgaria,2427,19.0,130.0,4.0,840.0,1457.0,29.0,349.0,19.0,74096.0,10656.0,6953227.0
80,80.0,Bosnia and Herzegovina,2401,10.0,144.0,3.0,1680.0,577.0,4.0,731.0,44.0,59532.0,18135.0,3282698.0
81,81.0,Ivory Coast,2376,10.0,30.0,0.0,1219.0,1127.0,0.0,90.0,1.0,23444.0,891.0,26307273.0
82,82.0,Djibouti,2270,0.0,10.0,0.0,1064.0,1196.0,0.0,2301.0,10.0,22097.0,22399.0,986520.0
83,83.0,Croatia,2244,1.0,99.0,0.0,2027.0,118.0,6.0,546.0,24.0,61482.0,14968.0,4107599.0
84,84.0,DRC,2141,116.0,63.0,0.0,317.0,1761.0,0.0,24.0,0.7,0.0,0.0,89256655.0
85,85.0,North Macedonia,1978,37.0,113.0,0.0,1422.0,443.0,21.0,949.0,54.0,25270.0,12129.0,2083382.0
86,86.0,Cuba,1941,10.0,82.0,1.0,1689.0,170.0,3.0,171.0,7.0,94060.0,8304.0,11327273.0
87,87.0,Gabon,1934,0.0,12.0,0.0,459.0,1463.0,10.0,871.0,5.0,9908.0,4463.0,2220060.0
88,88.0,El Salvador,1915,96.0,35.0,2.0,594.0,1286.0,25.0,295.0,5.0,72616.0,11201.0,6483000.0
89,89.0,Estonia,1823,2.0,64.0,0.0,1532.0,227.0,1.0,1374.0,48.0,75779.0,57129.0,1326450.0
90,90.0,Iceland,1804,0.0,10.0,0.0,1791.0,3.0,0.0,5290.0,29.0,58225.0,170736.0,341024.0
91,91.0,Lithuania,1623,7.0,63.0,0.0,1138.0,422.0,17.0,595.0,23.0,267719.0,98222.0,2725640.0
92,92.0,Somalia,1594,0.0,61.0,0.0,204.0,1329.0,2.0,101.0,4.0,0.0,0.0,15844234.0
93,93.0,Mayotte,1587,66.0,20.0,1.0,894.0,673.0,11.0,5832.0,74.0,5200.0,19110.0,272102.0
94,94.0,Slovakia,1509,5.0,28.0,0.0,1301.0,180.0,1.0,276.0,5.0,158414.0,29017.0,5459389.0
95,95.0,New Zealand,1504,0.0,21.0,0.0,1456.0,27.0,1.0,312.0,4.0,259152.0,53785.0,4818333.0
96,96.0,Slovenia,1468,0.0,107.0,1.0,1340.0,21.0,4.0,706.0,51.0,75110.0,36129.0,2078911.0
97,97.0,Kyrgyzstan,1403,38.0,14.0,0.0,980.0,409.0,5.0,215.0,2.0,98281.0,15090.0,6512990.0
98,98.0,Maldives,1371,58.0,4.0,0.0,144.0,1223.0,9.0,2541.0,7.0,11775.0,21824.0,539547.0
99,99.0,Kenya,1214,22.0,51.0,1.0,383.0,780.0,1.0,23.0,1.0,59260.0,1105.0,53644375.0
100,100.0,Sri Lanka,1141,52.0,9.0,0.0,674.0,458.0,1.0,53.0,0.4,53092.0,2480.0,21404496.0
101,101.0,Venezuela,1121,111.0,10.0,0.0,262.0,849.0,2.0,39.0,0.4,804004.0,28267.0,28443500.0
102,102.0,Lebanon,1114,17.0,26.0,0.0,688.0,400.0,4.0,163.0,4.0,74224.0,10870.0,6828287.0
103,103.0,Guinea-Bissau,1114,0.0,6.0,0.0,42.0,1066.0,0.0,568.0,3.0,1500.0,764.0,1962975.0
104,104.0,Hong Kong,1066,0.0,4.0,0.0,1030.0,32.0,1.0,142.0,0.5,202930.0,27090.0,7490925.0
105,105.0,Tunisia,1048,0.0,48.0,1.0,914.0,86.0,3.0,89.0,4.0,47649.0,4036.0,11806151.0
106,106.0,Latvia,1047,1.0,22.0,0.0,712.0,313.0,2.0,555.0,12.0,99049.0,52461.0,1888068.0
107,107.0,Mali,1030,15.0,65.0,2.0,597.0,368.0,0.0,51.0,3.0,3483.0,173.0,20186088.0
108,108.0,Albania,998,9.0,32.0,1.0,789.0,177.0,5.0,347.0,11.0,13279.0,4614.0,2878095.0
109,109.0,Equatorial Guinea,960,0.0,11.0,0.0,165.0,784.0,0.0,687.0,8.0,854.0,611.0,1397760.0
110,110.0,Niger,945,2.0,61.0,0.0,783.0,101.0,0.0,39.0,3.0,5989.0,248.0,24105596.0
111,111.0,Cyprus,935,8.0,17.0,0.0,594.0,324.0,10.0,775.0,14.0,99733.0,82664.0,1206488.0
